cell_id,drop_threshold,relative_increment_fraction,plateau_patience,checkpoint,seed,num_layers,source,destination,through,destination_max_layer,keep_max_layer,kept_layers,retained,max_exact_drop,exact_drop_at_kept_prefix
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,O[1],ROOT,9,-1,none,0,0.0005461496450027692,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,O[1],ROOT,9,3,L0-L3,1,0.29109776078645544,0.2665210267613326
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,O[1],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_ones,O[1],ROOT,9,6,L0-L6,1,0.448388858547242,0.43637356635718183
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,O[0],O[1],ROOT,9,0,L0-L0,1,0.1796832332058984,0.015292190060076427
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_hundreds,O[0],6,0,L0-L0,1,0.312397596941562,0.312397596941562
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_tens,O[0],7,1,L0-L1,1,0.020207536865101017,0.018022938285090162
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_tens,O[0],7,-1,none,0,0.0005461496450027692,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,N_ones,O[0],9,-1,none,0,0.0010922992900054274,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_ones,O[0],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_ones,O[0],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_ones,O[0],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_ones,O[0],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_ones,O[0],3,0,L0-L0,1,0.2796286182413982,0.2796286182413982
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,B_ones,O[0],3,1,L0-L1,1,0.1370835608956854,0.1370835608956854
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_ones,O[0],8,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,D_ones,O[0],8,0,L0-L0,1,0.27689787001638444,0.275805570726379
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_hundreds,O[1],7,0,L0-L0,1,0.312397596941562,0.312397596941562
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_tens,O[1],8,1,L0-L1,1,0.020207536865101017,0.018022938285090162
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_tens,O[1],8,-1,none,0,0.0005461496450027692,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,N_ones,O[1],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,N_ones,O[1],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,N_ones,O[1],9,-1,none,0,0.0010922992900054274,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_ones,O[1],3,0,L0-L0,1,0.2796286182413982,0.2796286182413982
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,B_ones,O[1],3,1,L0-L1,1,0.1370835608956854,0.1370835608956854
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_ones,O[1],6,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,D_tag,D_ones,O[1],6,0,L0-L0,1,0.27689787001638444,0.275805570726379
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tag,B_ones,0,-1,none,0,0.0005461496450027692,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tag,B_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tens,B_ones,1,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tens,B_ones,1,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tens,B_ones,1,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tens,B_ones,1,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,B_tens,B_ones,1,0,L0-L0,1,0.20316766794101582,0.20262151829601316
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tag,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_tens,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,B_ones,D_tag,D_ones,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tag,B_tag,B_tens,0,-1,none,0,0.0005461496450027692,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_hundreds,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_tens,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s0_best.pt,0,10,N_ones,B_tag,B_tens,0,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,O[0],ROOT,9,6,L0-L6,1,0.08581788879935537,0.08581788879935537
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,O[0],ROOT,9,8,L0-L8,1,0.08783239323126513,0.08742949234488318
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,O[0],ROOT,9,9,L0-L9,1,0.03706688154713933,0.03706688154713933
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,O[0],ROOT,9,9,L0-L9,1,0.13053988718775178,0.13053988718775178
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,O[0],ROOT,9,2,L0-L2,1,0.12973408541498788,0.12409347300564055
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,O[0],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_ones,O[0],ROOT,9,9,L0-L9,1,0.11966156325543909,0.11966156325543909
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,O[1],ROOT,9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,O[1],ROOT,9,6,L0-L6,1,0.2058823529411764,0.2034649476228847
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,O[1],ROOT,9,8,L0-L8,1,0.23609991941982267,0.23609991941982267
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,O[1],ROOT,9,9,L0-L9,1,0.2308622078968573,0.2308622078968573
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,O[1],ROOT,9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,O[1],ROOT,9,-1,none,0,0.0008058017727639033,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,O[1],ROOT,9,5,L0-L5,1,0.4153908138597905,0.3279613215149073
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,O[1],ROOT,9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_ones,O[1],ROOT,9,3,L0-L3,1,0.46132151490733275,0.44157937147461723
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,O[0],O[1],ROOT,9,9,L0-L9,1,0.03988718775181299,0.03988718775181299
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_hundreds,O[0],6,0,L0-L0,1,0.2763900080580177,0.2763900080580177
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_tens,O[0],8,0,L0-L0,1,0.1535052377115229,0.1535052377115229
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_tens,O[0],8,1,L0-L1,1,0.016116035455277955,0.014504431909750148
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_ones,O[0],9,6,L0-L6,1,0.010475423045930632,0.010475423045930632
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,N_ones,O[0],9,-1,none,0,0.004431909750201468,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_tens,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_tens,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_tens,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_tens,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_tens,O[0],9,0,L0-L0,1,0.17405318291700245,0.1736502820306205
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_ones,O[0],2,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_ones,O[0],2,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_ones,O[0],2,0,L0-L0,1,0.23045930701047546,0.23045930701047546
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,B_ones,O[0],2,0,L0-L0,1,0.21796937953263495,0.20870265914585007
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,D_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,D_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,D_ones,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,D_ones,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,D_ones,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,D_ones,O[0],9,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_ones,D_ones,O[0],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,D_tag,D_ones,O[0],9,0,L0-L0,1,0.4822723609991941,0.4806607574536663
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_hundreds,O[1],6,0,L0-L0,1,0.2763900080580177,0.2763900080580177
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_tens,O[1],8,0,L0-L0,1,0.1535052377115229,0.1535052377115229
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_tens,O[1],8,1,L0-L1,1,0.016116035455277955,0.014504431909750148
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,N_ones,O[1],9,6,L0-L6,1,0.010475423045930632,0.010475423045930632
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,N_ones,O[1],9,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,N_ones,O[1],9,-1,none,0,0.004431909750201468,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,B_ones,O[1],5,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,B_ones,O[1],5,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,B_ones,O[1],5,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,B_ones,O[1],5,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tag,B_ones,O[1],5,0,L0-L0,1,0.23045930701047546,0.23045930701047546
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,B_tens,B_ones,O[1],5,0,L0-L0,1,0.21796937953263495,0.20870265914585007
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tag,D_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_hundreds,D_ones,O[1],3,-1,none,0,0.0,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_tens,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
drop0.01_rel0.1,0.01,0.1,2,checkpoints/model_t_l10_mby_NB_intersection_pTrue_s42_best.pt,42,10,N_ones,D_ones,O[1],3,-1,none,0,0.00040290088638195165,0.0
